track.name,name,song_id
Formation,Beyoncé,6g0Orsxv6glTJCt4cHsRsQ
Let's Stay Together,Al Green,00P1T28MyzQJbj3tn9tTUp
Jumpin' Jack Flash,The Rolling Stones,5FMlUJ6wd2aN0lkdlRrEtH
All My Friends,LCD Soundsystem,2Ud3deeqLAG988pfW0Kwcl
California Dreamin',The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD
Blitzkrieg Bop - 2001 Remaster,Ramones,2hrF1aiAFGa7bWgt2qhyrc
Dancing In The Street,Martha Reeves & The Vandellas,6TPl5DQrkBY2XIqIaFmxqi
Hound Dog,Elvis Presley,0rfZ0RTGqRSCQF1LcOuzEy
Oblivion,Grimes,2RtNSM8cPCAOZ5bvQbW6y3
I Want To Hold Your Hand - Remastered,The Beatles,3JueJBdcGQaEAaWqPamsQt
All Along the Watchtower,Jimi Hendrix,2aoo2jlRnM3A0NyLQqMN2f
Nothing Compares 2 U,Sinéad O'Connor,4j6Hkosuk9xHcowXjtwefs
How Soon Is Now? - 2011 Remaster,The Smiths,1YrnDTqvcnUKxAIeXyaEmU
Sweet Child O' Mine,Guns N' Roses,5r9AgnhkPQXeKG1w5rauDq
For What It's Worth,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA
The Weight - Remastered,The Band,0sDqo9UPzPUtu9wEkI3zRB
Runaway,Kanye West,0jOL63hLMeSCHTXPdFkniq
Runaway,Pusha T,0jOL63hLMeSCHTXPdFkniq
Ghost Town - Extended Version,The Specials,5jSQJ9n4kScujfTwDEtyC2
Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,2Foc5Q5nqNiosCNqttzHof
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Pharrell Williams,2Foc5Q5nqNiosCNqttzHof
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Nile Rodgers,2Foc5Q5nqNiosCNqttzHof
Suspicious Minds,Elvis Presley,0pQBojXn2OhjSKGdlyknvc
Life On Mars? - 1999 Remastered Version,David Bowie,1C9NuEa1wOF15EOBuWaaxS
Life On Mars? - 1999 Remastered Version,Ken Scott,1C9NuEa1wOF15EOBuWaaxS
Reach Out I'll Be There - Single Version / Mono,Four Tops,2VwRmAIjgmwNPDh4eMK1EH
That's All Right Mama,Elvis Presley,38xhKLmi4SqnKMZy4ySBkD
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,1qvY84PQZYJ6ZLhQ9DEl2R
Wonderwall,Oasis,5bj4hb0QYTs44PDiwbI5CS
Heroin,The Velvet Underground,2SdDQZ4WupgDZP6eykOHHY
Heroin,Nico,2SdDQZ4WupgDZP6eykOHHY
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,3LUHtV6F7IHAOognkvcEKv
Thunder Road,Bruce Springsteen,556BL7XJ7PFXX8r3ozKYVa
One,U2,3PY7bg1gPZIurkWnRguKUF
I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,0zggnUZPh8kg69Jm7w7zZs
I'm Waiting For The Man - Album Version (Stereo),Nico,0zggnUZPh8kg69Jm7w7zZs
The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles,03uYIIUyvxk5kiCSltOTcZ
Yesterday - Remastered,The Beatles,1e0hllQ23AG0QGFgezgLOq
Dancing Queen,ABBA,01iyCAUm8EvOFqVWYJ3dVX
Summertime Blues,Eddie Cochran,2wwRSaZgshcHSvGzWryUIi
This Charming Man - 2011 Remaster,The Smiths,1FvDJ9KGxcqwv1utyPL3JZ
Blue Suede Shoes,Carl Perkins,1EJovYCU4hrSNlnExSqGnK
Good Times,CHIC,0G3fbPbE1vGeABDEZF0jeG
Pyramids,Frank Ocean,0rbK15g3UsDTVy1EuwgKYz
My Girl - Single Version/Mono,The Temptations,4jfmXzc1eCFIVvIVAkH4Fo
Paint It Black,The Rolling Stones,78Az0Z1vNJgqv9QSB0ULLV
Video Games,Lana Del Rey,0fBSs3fRoh1yJcne77fdu9
Rehab,Amy Winehouse,19z17doSqEhhm4aidrUHIB
Rapper's Delight - Long Version,The Sugarhill Gang,0RxphrRef802DdWKfTZiVG
The Sound of Silence - Electric Version,Simon & Garfunkel,2YplrdHMBoRdnHgMeHEwHm
Fortunate Son,Creedence Clearwater Revival,7I2lPuuiOkpKtZlhr4zUpT
Papa's Got A Brand New Bag - Pt. 1,James Brown,3l1A0dujoxMkucGkNuq2Bu
Bridge over Troubled Water,Simon & Garfunkel,5p9CQanQtvRtss7e4MiEGe
"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,2mKsPUojh602HvSeNt04CB
Proud Mary,Creedence Clearwater Revival,2IpMp3t9JrTiyrEVy2WlbU
Every Breath You Take - Remastered 2003,The Police,5C0LFQARavkPpn7JgA4sLk
Maybellene - Single Version,Chuck Berry,0cSXmUJMM7RNgkjaFblWPt
A Whiter Shade Of Pale,Procol Harum,4pMhwgF4a3R61AjEc9AbEh
Midnight City,M83,4kO7mrAPfqIrsKwUOK5BFx
Losing My Edge,LCD Soundsystem,1XlDNpWy8dyEljyRd0RC2J
I'm So Lonesome I Could Cry - Single Version,Hank Williams,3l49MeO0nNZhBj1IfYWB5w
Eight Miles High,The Byrds,5v3utF8InHZKd8JZJK5rCx
Born Slippy (Nuxx),Underworld,1zsDbmrf4ZkjW5hsSsaDjO
Great Balls Of Fire,Jerry Lee Lewis,4S9WWr42OEWNbA7SVt9xEY
Green Onions,Booker T. & the M.G.'s,6KKcey1w86oP0qxN8frbfD
Maps,Yeah Yeah Yeahs,2hxV5yGCr1nIp5bQBxXL13
Umbrella,Rihanna,2Y2ud3awMZHDxOCpDebiv3
Umbrella,JAY-Z,2Y2ud3awMZHDxOCpDebiv3
She Loves You - Remastered,The Beatles,3MbjEDPm5qtuJxiC86PWKy
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,5cP52DlDN9yryuZVQDg3iq
Tangled up in Blue,Bob Dylan,6Vcwr9tb3ZLO63F8DL8cqu
Maggie May,Rod Stewart,2LpirOWiA4eslLRuPpQT7V
Will You Still Love Me Tomorrow,The Shirelles,1tbqS3srsMbxzCZqTWuq1B
Seasons (Waiting On You),Future Islands,41X9To0bQ4fpoSRri4NHiI
Creep,Radiohead,3HfB5hBU0dmBt8T0iCmH42
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,0TMrV95mP7sDlvbE4iVfKP
Paranoid,Black Sabbath,3L8WgDYS5TtwbyxOPSAiFf
Heart Of Glass [24-Bit Digitally Remastered 01],Blondie,5XJ1J9QPxaOzdpkGxKU4lA
Kashmir - 1990 Remaster,Led Zeppelin,2nVHqZbOGkKWzlcy1aMbE7
Walk This Way (feat. Aerosmith),Run–D.M.C.,6qUEOWqOzu1rLPUPQ1ECpx
Walk This Way (feat. Aerosmith),Aerosmith,6qUEOWqOzu1rLPUPQ1ECpx
Like a Prayer,Madonna,2v7ywbUzCgcVohHaKUcacV
Marquee Moon - 2003 Remaster,Television,3MWdMCAIFPzcIUdiEi8Pao
Hotline Bling,Drake,6nmz4imkDcmtwMjocAzFSx
Live Forever,Oasis,6etTGUYDxGHcqHYI4xBr1w
Time to Pretend,MGMT,4iG2gAwKXsOcijVaVXzRPW
When a Man Loves a Woman,Percy Sledge,51FpzuGkRYXFgsE2zXt9av
Brown Sugar,The Rolling Stones,6QXZVvqweO3l0NXcACcAVn
"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart,7cOQppvulvrcnqeVk1y6WC
"Over the Rainbow (From ""The Wizard of Oz"")",Harold Arlen,7cOQppvulvrcnqeVk1y6WC
"Over the Rainbow (From ""The Wizard of Oz"")",Judy Garland,7cOQppvulvrcnqeVk1y6WC
Tomorrow Never Knows - Remastered,The Beatles,0agoaPIy92gPZ6zRhqXarE
This Land is Your Land,Woody Guthrie,7CNaYAdLyi86kofGafReiT
"Oh, Pretty Woman",Roy Orbison,1hzJNnXtVKQ6BVyfDFSk1R
Jailhouse Rock,Elvis Presley,0PiZTZafJR0LtG3g19BUze
Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,69yVxyuRahEzs2taFMVVoO
I Bet You Look Good On The Dancefloor,Arctic Monkeys,0S7zL7ae0KpOSPKeFQpHo8
Like a Virgin,Madonna,1ZPlNanZsJSPK5h9YZZFbZ
Into the Groove,Madonna,2m0M7YqCy4lXfedh18qd8N
Let It Happen,Tame Impala,2X485T9Z5Ly0xyaghN73ed
Cranes in the Sky,Solange,48EjSdYh8wz2gBxxqzrsLe
Song 2 - 2012 Remaster,Blur,1FTSo4v6BOZH9QxKc3MbVM
Purple Rain,Prince,78tohUCFtANyQCWrbGgHMH
Wuthering Heights,Kate Bush,5YSI1311X8t31PBjkBG4CZ
Born In The U.S.A.,Bruce Springsteen,310epXrlbXmfGcD1qSdgVV
Kids,MGMT,1jJci4qxiYcOHhQR247rEU
"Nuthin' But A ""G"" Thang",Dr. Dre,4YtoipFgf4k0AfD17ZfD5X
"Nuthin' But A ""G"" Thang",Snoop Dogg,4YtoipFgf4k0AfD17ZfD5X
Peggy Sue - Single Version,Buddy Holly,3iJWxZYv5FNcfGcOdgbq2P
White Rabbit,Jefferson Airplane,4vpeKl0vMGdAXpZiQB2Dtd
Kiss,Prince,62LJFaYihsdVrrkgUOJC05
Sunday Bloody Sunday,U2,7HywFD7N4q5LsLCs3gYQHQ
Psycho Killer - 2005 Remaster,Talking Heads,1i6N76fftMZhijOzFQ5ZtL
Tainted Love,Soft Cell,0cGG2EouYCEEC3xfa0tDFV
Little Red Corvette,Prince,4iozhXt27eMl39W5z7R8H6
Family Affair - Single Version,Sly & The Family Stone,2GVEs1sn5Q1jB1976vQoAX
Can't Get You out of My Head,Kylie Minogue,7MoKXLQeI0Bh2QodCjDO4K
Honky Tonk Women - Mono Version,The Rolling Stones,7y0ZB9dSu73TQOnr44j5l2
Your Best American Girl,Mitski,172rW45GEnGoJUuWfm1drt
Autobahn - 2009 Remaster,Kraftwerk,31uidLEHAcF8Cw1cX1VCS8
My Girls,Animal Collective,0CuLJepOW0kzYtYekz6MIu
Eleanor Rigby - Remastered,The Beatles,77f3aNeabAbOaSB32Sd5QE
Get It On,T. Rex,587BJ6M8X7OjS9YWtm26fU
There She Goes,The La's,4c6vZqYHFur11FbWATIJ9P
Help! - Remastered,The Beatles,5ou2BiQ9FxIYkxsYvYHpAT
House Of Jealous Lovers,The Rapture,2XkxuIBdRY85ZbtRKVlGWq
Last Nite,The Strokes,7kzKAuUzOITUauHAhoMoxA
Le Freak,CHIC,28NBmftocOzTPEb6OYA9fW
Won't Get Fooled Again - Original Album Version,The Who,7iLGljK0LNpGamQQEOuCRC
In My Life - Remastered,The Beatles,5QqdvVeYLL1xvZ1ndUjxnO
Hurt,Johnny Cash,1med9ijNdCwxnyS8vBpfhR
Ms. Jackson,Outkast,0I3q5fE6wg7LIfHGngUTnV
Walk on By,Dionne Warwick,4FWBg11d45wVswR21jDz4l
Folsom Prison Blues,Johnny Cash,6bXsnQ8laHa6cVK1JO9dmg
Folsom Prison Blues,The Tennessee Two,6bXsnQ8laHa6cVK1JO9dmg
Sign 'O' the Times - Single Version,Prince,5lHWWhuRtSBKfH2xS6YAUD
bad guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m
Teenage Kicks,The Undertones,0D82ptaLlMYUOZ0XzggIDt
This Is America,Childish Gambino,0b9oOr2ZgvyQu88wzixux9
Blowin' in the Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E
I Walk The Line - Single Version,Johnny Cash,7kIDzcFzCSaPLOi4ZMt2Bx
Brown Eyed Girl,Van Morrison,4B2jOTUZBnlrjLHK1ertFR
Blueberry Hill,Fats Domino,5A6A0md0TDTXHyJK8IQaUy
Planet Rock,Afrika Bambaataa,5ZSDLOVEhZlvqcI6ELAT44
Planet Rock,Afrika Bambaataa & The Soulsonic Force,5ZSDLOVEhZlvqcI6ELAT44
Crazy,Patsy Cline,5wlbrXx1qY5WM5HAwCSgto
Bo Diddley,Bo Diddley,1R6k1skdwW1h6pMiO7Vs28
Subterranean Homesick Blues,Bob Dylan,6k9DUKMJpWvu6eFG3O64Lg
Mr. Brightside,The Killers,0eGsygTp906u18L0Oimnem
People Get Ready - Single Version,The Impressions,1MlXd4giftxXZgeMItb3PQ
Virginia Plain,Roxy Music,5ZgNecJcN9SSopnmCTlpXs
Runaway,Del Shannon,0uxu2GzsOMGNZ7C1ul84Mf
Baba O'Riley,The Who,2KmEgiY8fQs0G6WNxtzQKr
Go Your Own Way,Fleetwood Mac,0FeCO85RKW8fDRytwXof2x
Two Weeks,FKA twigs,2UYJqglnOMTvRcqQLNcjjf
(White Man) In Hammersmith Palais,The Clash,2yqO0jNSklB5IWbW38IMGF
(Don't Fear) The Reaper,Blue Öyster Cult,5oI1A8G8jH5rxt35dPiHIB
Penny Lane - Remastered,The Beatles,5RStjc42UAYI2NMY3cYpgz
Smoke On the Water,Deep Purple,6EjVUVKA4VmQuVJCzlS7yN
Toxic,Britney Spears,4VWvhAyaJ86K2Bq4YZwIVu
Roadrunner (Twice),Jonathan Richman & The Modern Lovers,5DjzZyOpbVhryv3r59T43w
Don't You Want Me,The Human League,3L7RtEcu1Hw3OXrpnthngx
Bad Girls,M.I.A.,5G6aQWH215hCxdhfCqI7XB
Changes - 1999 Remastered Version,David Bowie,1UBilOBSTjHxFBpsHNfykQ
Don't Stop 'Til You Get Enough,Michael Jackson,46eu3SBuFCXWsPT39Yg3tJ
Let It Be - Remastered,The Beatles,5V1AHQugSTASVez5ffJtFo
Don't Be Cruel,Elvis Presley,1NcPWpEiIKiTxc4kbURkSx
Papa Was A Rollin' Stone - Single Version,The Temptations,5qf5RkyeFIwPdHrftXnOLq
Rolling in the Deep,Adele,1eq1wUnLVLg4pdEfx9kajC
Living For The City,Stevie Wonder,1nh8sw0ZDlNbjXTGutpxwl
Gloria (feat. Van Morrison) - Mono Version,Them,2aH5Pqq1F0sqZN1NFmWNvL
Gloria (feat. Van Morrison) - Mono Version,Van Morrison,2aH5Pqq1F0sqZN1NFmWNvL
Try A Little Tenderness,Otis Redding,50W9PJjr1Euo9FFoqw90eL
I Wanna Be Your Dog,The Stooges,672N8DGGTOLCOgWe0koX5g
1979,The Smashing Pumpkins,5KRRcT67VNIZUygEbMoIC1
The Girl From Ipanema,Stan Getz,7DjbiNCiaIjGcJcld2hZVM
The Girl From Ipanema,João Gilberto,7DjbiNCiaIjGcJcld2hZVM
The Girl From Ipanema,Astrud Gilberto,7DjbiNCiaIjGcJcld2hZVM
You Send Me,Sam Cooke,3usoO0yngLKFyGqm7BF9Nm
Wild Thing,The Troggs,2VGv9RV5POeCU3UlehM2sX
Ziggy Stardust - 2012 Remastered Version,David Bowie,2h9h3uJyRAb54OyrQK33lA
In the Midnight Hour,Wilson Pickett,4NRQwaks9r58tTDvr4iEyv
Wichita Lineman - Remastered 2001,Glen Campbell,6V9VCm1zOY2lGR80RehJ9i
I Got You (I Feel Good),James Brown,4ZrbWwFHHjPoe7cfUBJ9WQ
Idioteque,Radiohead,0XFZeItaZHlOOYgWSdh8O7
Sunshine Of Your Love,Cream,2BcvvHttiZRvguFM4hR398
Search and Destroy [2023 Remaster] - Iggy Mix,The Stooges,00sydAz6PeOxYzwG1dRIPi
While My Guitar Gently Weeps - Remastered,The Beatles,4J4gApJKSC0himDViFotdy
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks,0bHm2wFL0m7qZIlhO7PQu5
